pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,run
BNB/USDT,9.07511,9.07511,0.011,2025-12-26 15:05:00+00:00,2025-12-26 17:35:00+00:00,825.01,831.9,0.001,0.001,150,0.006336725782550682,0.05756399,roi,542.86,-0.342,542.86,-0.342,822.92,833.5,False,,1.0,False,1766761500000,1766770500000,"[{'amount': 0.011, 'safe_price': 825.01, 'ft_order_side': 'buy', 'order_filled_timestamp': 1766761500000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.084185109999998}, {'amount': 0.011, 'safe_price': 831.9, 'ft_order_side': 'sell', 'order_filled_timestamp': 1766770500000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.1600509}]",0.0,4,risk_train
BTC/USDT,9.5453732,9.5453732,0.00011,2025-12-26 15:15:00+00:00,2025-12-26 17:45:00+00:00,86776.12,87361.53,0.001,0.001,150,0.004734730040179596,0.04523996,roi,57098.69,-0.342,57098.69,-0.342,86655.08,87463.77,False,,1.0,False,1766762100000,1766771100000,"[{'amount': 0.00011, 'safe_price': 86776.12, 'ft_order_side': 'buy', 'order_filled_timestamp': 1766762100000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.554918573199998}, {'amount': 0.00011, 'safe_price': 87361.53, 'ft_order_side': 'sell', 'order_filled_timestamp': 1766771100000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.6193780683}]",0.0,4,risk_train
ETH/USDT,9.583299,9.583299,0.0033,2025-12-26 15:15:00+00:00,2025-12-26 17:45:00+00:00,2904.03,2923.73,0.001,0.001,150,0.004772120471526282,0.04577839,roi,1910.86,-0.342,1910.86,-0.342,2899.42,2935.12,False,,1.0,False,1766762100000,1766771100000,"[{'amount': 0.0033, 'safe_price': 2904.03, 'ft_order_side': 'buy', 'order_filled_timestamp': 1766762100000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.592882299}, {'amount': 0.0033, 'safe_price': 2923.73, 'ft_order_side': 'sell', 'order_filled_timestamp': 1766771100000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.657957308999999}]",0.0,4,risk_train
XRP/USDT,9.70059,9.70059,5.3,2025-12-26 15:15:00+00:00,2025-12-26 17:45:00+00:00,1.8303,1.846,0.001,0.001,150,0.006562688254214234,0.06372561,roi,1.2044,-0.342,1.2044,-0.342,1.8267,1.8495,False,,1.0,False,1766762100000,1766771100000,"[{'amount': 5.3, 'safe_price': 1.8303, 'ft_order_side': 'buy', 'order_filled_timestamp': 1766762100000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.71029059}, {'amount': 5.3, 'safe_price': 1.846, 'ft_order_side': 'sell', 'order_filled_timestamp': 1766771100000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.793583799999999}]",0.0,4,risk_train
DOGE/USDT,9.7928,9.7928,80.0,2025-12-26 15:05:00+00:00,2025-12-27 01:55:00+00:00,0.12241,0.12266,0.001,0.001,650,4.02342531253568e-05,0.0003944,roi,0.08055,-0.342,0.08055,-0.342,0.12064,0.12269,False,,1.0,False,1766761500000,1766800500000,"[{'amount': 80.0, 'safe_price': 0.12241, 'ft_order_side': 'buy', 'order_filled_timestamp': 1766761500000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.8025928}, {'amount': 80.0, 'safe_price': 0.12266, 'ft_order_side': 'sell', 'order_filled_timestamp': 1766800500000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.8226128}]",0.0,5,risk_train
ADA/USDT,9.97634,9.97634,27.4,2026-01-19 00:05:00+00:00,2026-01-19 02:35:00+00:00,0.3641,0.3648,0.001,0.001,150,-7.929450390312791e-05,-0.00079186,roi,0.2396,-0.342,0.2396,-0.342,0.3571,0.3667,False,,1.0,False,1768781100000,1768790100000,"[{'amount': 27.4, 'safe_price': 0.3641, 'ft_order_side': 'buy', 'order_filled_timestamp': 1768781100000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.986316339999998}, {'amount': 27.4, 'safe_price': 0.3648, 'ft_order_side': 'sell', 'order_filled_timestamp': 1768790100000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 10.005515519999998}]",0.0,0,risk_test
BNB/USDT,9.2025,9.2025,0.01,2026-01-19 00:05:00+00:00,2026-01-19 02:40:00+00:00,920.25,922.09,0.001,0.001,155,-2.5402470390245452e-06,-2.34e-05,roi,605.53,-0.342,605.53,-0.342,907.55,922.84,False,,1.0,False,1768781100000,1768790400000,"[{'amount': 0.01, 'safe_price': 920.25, 'ft_order_side': 'buy', 'order_filled_timestamp': 1768781100000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.2117025}, {'amount': 0.01, 'safe_price': 922.09, 'ft_order_side': 'sell', 'order_filled_timestamp': 1768790400000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.2301209}]",0.0,0,risk_test
DOGE/USDT,9.92004,9.92004,78.0,2026-01-19 00:05:00+00:00,2026-01-19 03:50:00+00:00,0.12718,0.12743,0.001,0.001,225,-3.621162608424757e-05,-0.00035958,roi,0.08369,-0.342,0.08369,-0.342,0.12524,0.12785,False,,1.0,False,1768781100000,1768794600000,"[{'amount': 78.0, 'safe_price': 0.12718, 'ft_order_side': 'buy', 'order_filled_timestamp': 1768781100000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.929960039999997}, {'amount': 78.0, 'safe_price': 0.12743, 'ft_order_side': 'sell', 'order_filled_timestamp': 1768794600000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 9.949479539999999}]",0.0,0,risk_test
BTC/USDT,9.374004,9.374004,0.0001,2026-01-18 23:55:00+00:00,2026-01-19 08:25:00+00:00,93740.04,93212.94,0.001,0.001,510,-0.007609764838372806,-0.0714053,exit_signal,61680.95,-0.342,61680.95,-0.342,91910.2,93820.99,False,,1.0,False,1768780500000,1768811100000,"[{'amount': 0.0001, 'safe_price': 93740.04, 'ft_order_side': 'buy', 'order_filled_timestamp': 1768780500000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.383378003999999}, {'amount': 0.0001, 'safe_price': 93212.94, 'ft_order_side': 'sell', 'order_filled_timestamp': 1768811100000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 9.330615294}]",0.0,0,risk_test
ETH/USDT,9.977908,9.977908,0.0031,2026-01-19 00:15:00+00:00,2026-01-19 11:25:00+00:00,3218.68,3225.12,0.001,0.001,670,-1.1794287708637691e-06,-1.178e-05,roi,2117.9,-0.342,2117.9,-0.342,3177.68,3230.24,False,,1.0,False,1768781700000,1768821900000,"[{'amount': 0.0031, 'safe_price': 3218.68, 'ft_order_side': 'buy', 'order_filled_timestamp': 1768781700000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 9.987885907999999}, {'amount': 0.0031, 'safe_price': 3225.12, 'ft_order_side': 'sell', 'order_filled_timestamp': 1768821900000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 10.007869871999999}]",0.0,0,risk_test
